2024-03-26 20:17:15,425 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,426 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,426 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,427 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,427 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,428 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,428 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,429 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,429 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,429 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,429 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,429 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,430 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,430 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,430 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,431 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,431 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,432 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,432 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,433 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,433 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,433 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,433 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,434 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,434 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,435 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,435 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,435 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,436 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,436 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,436 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
